"Code d'organisme";"Nom d'organisme officiel";"Code organisme responsable";"Adresse de courrier electronique";"Adresse de site WEB";"Ordre d'appartenance";"Réseau d'enseignement";"Type d'organisme";"Numéro de téléphone";"Numéro de poste téléphone";"Numéro de télécopieur";"Nom du directeur";"Prénom du directeur";"Appellation";"Titre de l'intervenant";"Circonscription électorale provinciale";"Code postal de l'adresse géographique";"Numéro - nom de rue et casier postal de l'adresse postale";"Région administrative";"Latitude";"Longitude";"Municipalité de l'adresse géographique";"Français";"Anglais";
"364501";"Académie adventiste Greaves, Campus de Montréal";"364500";"info@greavesadac.com";"www.greavesadventistacademy.com";"7";"Privé";"Installation";"5144865092";"223";"(514) 486-0515";"Cousins";"Teca Z.";"Mme.";"Directeur";"82";"H4B2S4";"2330, avenue West Hill";"6";"45.464";"-73.631";"0";"Non";"Oui";
"364503";"Académie adventiste Greaves, Campus Sartigan";"364500";"info_aas@globetrotter.net";"www.acadsartigan.org";"3";"Privé";"Installation";"4182220472";"";"(418) 222-0473";"Cousins";"Teca Z.";"Mme.";"Directeur";"7";"G5Y5B8";"645, 7e rue Sartigan";"12";"46.126";"-70.685";"54";"Non";"Oui";
"001501";"Académie Antoine Manseau";"001500";"courrier@amanseau.qc.ca";"www.amanseau.qc.ca";"4";"Privé";"Installation";"4507534271";"2000";"(450) 753-7202";"Cyr";"Robert";"M.";"Directeur général";"51";"J6E3Z9";"20, St-Charles-Borromée Sud C.P. 410";"14";"46.046";"-73.453";"42";"Oui";"Non";
"004501";"Académie Chrétienne Rive Nord";"004500";"hleonard@acrn.ca";"";"7";"Privé";"Installation";"4506277070";"";"(450) 962-6525";"Talbot";"6";"Mme.";"Directrice";"35";"H7R4P3";"790, 18e Avenue";"13";"45.568";"-73.846";"2";"Oui";"Non";
"587501";"Académie culturelle de Laval";"587500";"staleb@ecoleacl.com";"www.ecoleacl.com";"3";"Privé";"Installation";"4506819797";"";"(450) 681-9710";"Karine";"Gafsi";"Mme.";"";"26";"H7V2Z1";"1075, rue Saint-Louis";"13";"45.55";"-73.73";"2";"Oui";"Non";
"888400";"Académie de beauté Gordon-Robertson";"888000";"";"";"8";"Public";"Centre de formation prof.";"5144265096";"";"(514) 426-4854";"Lincoln";"Micheline";"Mme.";"Directrice de Centre";"46";"H9W6G4";"240, promenade Beaurepaire";"6";"45.434";"-73.848";"31";"Oui";"Oui";
"294901";"Académie de l'entrepreneurship Québécois inc.";"";"joan@academieentrepreneurship.com";"www.academieentrepreneurship.com";"32";"Privé";"Collège privé";"4506765826";"";"(450) 676-2261";"4";"16";"Mme.";"Directrice générale";"117";"J3Y9G6";"4619, de Niverville";"16";"45.48";"-73.403";"4";"Oui";"Non";
"762267";"Académie De Roberval";"762000";"roberval@csdm.qc.ca";"www.csdm.qc.ca/AcademieDeRoberval/";"4";"Public";"École";"5145965523";"";"(514) 596-5527";"Cordoba";"Luisa";"Mme.";"Directrice";"61";"H2E1R9";"1370, rue De Castelnau Est";"6";"45.552";"-73.626";"0";"Oui";"Non";
"513501";"Académie des pompiers";"513500";"info@academiedespompiers.ca";"www.academiedespompiers.ca";"8";"Privé";"Installation";"4502584460";"";"(450) 258-4558";"Larivière";"Claude";"M.";"";"76";"J7N2X4";"9401, côte des Saints";"15";"45.711";"-74.089";"49";"Oui";"Non";
"513502";"Académie des pompiers";"513500";"info@academiedespompiers.ca";"www.academiedespompiers.ca";"8";"Privé";"Installation";"4502584460";"";"(450) 258-4558";"";"";"";"";"76";"J7N2V6";"9577, rue Saint-Vincent";"15";"45.711";"-74.089";"49";"Oui";"Non";
