"Code d'organisme";"Nom courant";"Nom d'organisme officiel";"Code organisme responsable";"Nom d'organisme responsable";"Adresse de courrier electronique";"Adresse de site WEB";"Direction régionale";"Région administrative";"Ordre d'appartenance";"Réseau d'enseignement";"Type d'organisme";"Numéro de téléphone";"Numéro de poste téléphone";"Numéro de télécopieur";"Numéro - nom de rue et casier postal de l'adresse géographique";"Municipalité de l'adresse géographique";"Province de l'adresse géographique";"Code postal de l'adresse géographique";"Numéro - nom de rue et casier postal de l'adresse postale";"Municipalité de l'adresse postale";"Province de l'adresse postale";"Code postal de l'adresse postale";"Circonscription électorale provinciale";"Code de municipalité ISQ";"Fonction";"Titre de l'intervenant";"Titre court";"Appellation";"Nom du directeur";"Prénom du directeur";"Préscolaire";"Primaire";"Secondaire";"Éducation des adultes";"Formation professionnelle";"Collégial";"Universitaire";"Français";"Anglais";"Autres";
"364501";"Académie adventiste Greaves, Campus Mtl";"Académie adventiste Greaves, Campus de Montréal";"364500";"Académie adventiste Greaves";"info@greavesadac.com";"www.greavesadventistacademy.com";"Montréal";"Montréal";"Préscolaire, primaire, secondaire";"Privé";"Installation";"(514) 486-5092";"223";"(514) 486-0515";"2330, avenue West Hill";"Montréal";"Québec";"H4B 2S4";"2330, avenue West Hill";"Montréal";"Québec";"H4B 2S4";"Notre-Dame-de-Grâce";"66023";"Directeur";"Directeur";"Directeur";"Mme.";"Cousins";"Teca Z.";"Oui";"Oui";"Oui";"Non";"Non";"Non";"Non";"Non";"Oui";"Non";
"364503";"Académie adventiste Greaves, C. Sartigan";"Académie adventiste Greaves, Campus Sartigan";"364500";"Académie adventiste Greaves";"info_aas@globetrotter.net";"www.acadsartigan.org";"Capit.-Nation. et Chaud.-App.";"Chaudière-Appalaches";"Préscolaire, primaire";"Privé";"Installation";"(418) 222-0472";"";"(418) 222-0473";"645, 7e rue Sartigan";"Saint-Georges";"Québec";"G5Y 5B8";"645, 7e rue Sartigan";"Saint-Georges";"Québec";"G5Y 5B8";"Beauce-Sud";"29073";"Directeur";"Directeur";"Directeur";"Mme.";"Cousins";"Teca Z.";"Oui";"Oui";"Non";"Non";"Non";"Non";"Non";"Non";"Oui";"Non";
"001501";"Ac. Antoine Manseau";"Académie Antoine Manseau";"001500";"Académie Antoine Manseau";"courrier@amanseau.qc.ca";"www.amanseau.qc.ca";"Laval Laurentides Lanaudière";"Lanaudière";"Secondaire";"Privé";"Installation";"(450) 753-4271";"2000";"(450) 753-7202";"20, St-Charles-Borromée Sud C.P. 410";"Joliette";"Québec";"J6E 3Z9";"20, St-Charles-Borromée Sud C.P. 410";"Joliette";"Québec";"J6E 3Z9";"Joliette";"61025";"Directeur";"Directeur général";"Directeur";"M.";"Cyr";"Robert";"Non";"Non";"Oui";"Non";"Non";"Non";"Non";"Oui";"Non";"Non";
"004501";"Académie Chrétienne Rive Nord";"Académie Chrétienne Rive Nord";"004500";"Académie Chrétienne Rive Nord";"hleonard@acrn.ca";"";"Laval Laurentides Lanaudière";"Laval";"Préscolaire, primaire, secondaire";"Privé";"Installation";"(450) 627-7070";"";"(450) 962-6525";"790, 18e Avenue";"Laval";"Québec";"H7R 4P3";"790, 18e Avenue";"Laval";"Québec";"H7R 4P3";"Fabre";"65005";"Directeur";"Directrice";"Directrice administrative";"Mme.";"Talbot";"Christine";"Oui";"Oui";"Oui";"Non";"Non";"Non";"Non";"Oui";"Non";"Non";
"587501";"Académie culturelle de Laval";"Académie culturelle de Laval";"587500";"Académie culturelle de Laval";"staleb@ecoleacl.com";"www.ecoleacl.com";"Laval Laurentides Lanaudière";"Laval";"Préscolaire, primaire";"Privé";"Installation";"(450) 681-9797";"";"(450) 681-9710";"1075, rue Saint-Louis";"Laval";"Québec";"H7V 2Z1";"1075, rue Saint-Louis";"Laval";"Québec";"H7V 2Z1";"Chomedey";"65005";"Directeur";"";"";"Mme.";"Karine";"Gafsi";"Oui";"Oui";"Non";"Non";"Non";"Non";"Non";"Oui";"Non";"Non";
"888400";"Académie de beauté Gordon-Robertson";"Académie de beauté Gordon-Robertson";"888000";"CS Lester-B.-Pearson";"";"";"Montréal";"Montréal";"Formation professionnelle";"Public";"Centre de formation prof.";"(514) 426-5096";"";"(514) 426-4854";"240, promenade Beaurepaire";"Beaconsfield";"Québec";"H9W 6G4";"240, promenade Beaurepaire";"Beaconsfield";"Québec";"H9W 6G4";"Jacques-Cartier";"66107";"Directeur";"Directrice de Centre";"Directrice";"Mme.";"Lincoln";"Micheline";"Non";"Non";"Non";"Non";"Oui";"Non";"Non";"Oui";"Oui";"Non";
"294901";"Académie de l'entrepreneurship Québécois";"Académie de l'entrepreneurship Québécois inc.";"";"";"joan@academieentrepreneurship.com";"http://www.academieentrepreneurship.com";"Montérégie";"Montérégie";"Collégial";"Privé";"Collège privé";"(450) 676-5826";"";"(450) 676-2261";"4619, de Niverville";"Longueuil";"Québec";"J3Y 9G6";"4619, de Niverville";"Longueuil";"Québec";"J3Y 9G6";"Vachon";"58227";"Directeur général";"Directrice générale";"Directrice générale";"Mme.";"Bouchard";"Johanne";"Non";"Non";"Non";"Non";"Non";"Oui";"Non";"Oui";"Non";"Non";
"762267";"Académie De Roberval";"Académie De Roberval";"762000";"CS de Montréal";"roberval@csdm.qc.ca";"http://www.csdm.qc.ca/AcademieDeRoberval/";"Montréal";"Montréal";"Secondaire";"Public";"École";"(514) 596-5523";"";"(514) 596-5527";"1370, rue De Castelnau Est";"Montréal";"Québec";"H2E 1R9";"1370, rue De Castelnau Est";"Montréal";"Québec";"H2E 1R9";"Laurier-Dorion";"66023";"Directeur";"Directrice";"Dir.";"Mme.";"Cordoba";"Luisa";"Non";"Non";"Oui";"Non";"Non";"Non";"Non";"Oui";"Non";"Non";
"513501";"Académie des pompiers";"Académie des pompiers";"513500";"Académie des pompiers";"info@academiedespompiers.ca";"www.academiedespompiers.ca";"Laval Laurentides Lanaudière";"Laurentides";"Formation professionnelle";"Privé";"Installation";"(450) 258-4460";"";"(450) 258-4558";"9401, côte des Saints";"Mirabel";"Québec";"J7N 2X4";"9401, côte des Saints";"Mirabel";"Québec";"J7N 2X4";"Mirabel";"74005";"Directeur";"";"Directeur Général";"M.";"Larivière";"Claude";"Non";"Non";"Non";"Non";"Oui";"Non";"Non";"Oui";"Non";"Non";
"513502";"Académie des pompiers";"Académie des pompiers";"513500";"Académie des pompiers";"info@academiedespompiers.ca";"www.academiedespompiers.ca";"Laval Laurentides Lanaudière";"Laurentides";"Formation professionnelle";"Privé";"Installation";"(450) 258-4460";"";"(450) 258-4558";"9577, rue Saint-Vincent";"Mirabel";"Québec";"J7N 2V6";"9577, rue Saint-Vincent";"Mirabel";"Québec";"J7N 2V6";"Mirabel";"74005";"";"";"";"";"";"";"Non";"Non";"Non";"Non";"Oui";"Non";"Non";"Oui";"Non";"Non";
